thema;indicator;doel_tekst;richting_auto;doel_auto;doeljaar_auto;richting_handmatig;doel_handmatig;doeljaar_handmatig;opmerking;te_doen;doel_alt;doel_alt_label
Kennis & Vaardigheden;Minimaal digitale basisvaardigheden (% personen > 12 jaar);Doel 2030: 80%;;80,0;2030,0;hoger;80;2030;Doeltekst: Doel 2030: 80%;;;
Kennis & Vaardigheden;Aantallen vroegtijdig schoolverlaters (12-23 jaar);Maximum 2026: 18.000;lager;18000,0;2026,0;;;;;;;
Klimaat en Milieu;Broeikasgasemissies (CO2-eq. Mton);2040: -90% t.o.v. 1990 = 22,7;;-90,0;2040,0;lager;22,7;2040;Streefwaarde 22,7 Mton staat in de brontekst - parser pakte -90 (de procentuele reductie);;;
Klimaat en Milieu;Ammoniak-uitstoot (NH3) (landbouw);2035: 62,6 (42%);;62,6;2035,0;lager;62,6;2035;"Uitstoot; doeltekst 2035: 62,6";;;
Klimaat en Milieu;Ammoniak-uitstoot (NH3) (industrie);2035: 0,7;;0,7;2035,0;lager;0,7;2035;"Uitstoot; doeltekst 2035: 0,7";;;
Klimaat en Milieu;NOx-uistoot (mobiliteit);2035: 80,6;;80,6;2035,0;lager;80,6;2035;"Uitstoot; doeltekst 2035: 80,6";;;
Klimaat en Milieu;Stikstofdepositie gevoelige natuurgebieden (mol/ha);Doel 2035: 850 mol/ha;;850,0;2035,0;lager;850;2035;"Depositie; doeltekst Doel 2035: 850 mol/ha";;;
Klimaat en Milieu;Aandeel Natura 2000 dat voldoende onder de Kritische DepositieWaarde (KDW) zit;"Doel 2030: 50%; 2035: 74%";;50,0;2030,0;hoger;50;2030;"Aandeel dat voldoet; tweede doel 2035: 74%";;;
Klimaat en Milieu;Kwaliteit oppervlaktewater (chemisch) (% van voldoende kwaliteit));Doel 2027: 100%;;100,0;2027,0;hoger;100;2027;"Kaderrichtlijn Water; doeltekst Doel 2027: 100%";;;
Klimaat en Milieu;Kwaliteit oppervlaktewater (biologisch) (% van goede kwaliteit));Doel 2027: 100%;;100,0;2027,0;hoger;100;2027;"Kaderrichtlijn Water; doeltekst Doel 2027: 100%";;;
Klimaat en Milieu;Living Planet Index - NL (fauna het land) (1990 = 100);een hoger indexgetal is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Klimaat en Milieu;Living Planet Index - NL (fauna zoetwater);een hoger indexgetal is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Klimaat en Milieu;Hernieuwbare energie - eindgebruik (%);Doel 2030: 39%;;39,0;2030,0;hoger;39;2030;Doeltekst: Doel 2030: 39%;;;
Wonen;Woningen tekort (aantal);Lager tekort is beter;lager;;;;;;;streefwaarde ontbreekt;;
Wonen;Verdeling woningvoorraad naar eigendom (vrije sectorhuur);;;;;;;;Bewust leeg: gewenste verdeling koop/huur is een politieke keuze;bewust leeg;;
Wonen;Verdeling woningvoorraad naar eigendom (koop);;;;;;;;Bewust leeg: gewenste verdeling koop/huur is een politieke keuze;bewust leeg;;
Wonen;Verdeling woningvoorraad naar eigendom (sociale huur);Meer is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Wonen;(Mediane) Woonquote (eigenaar);Lager is beter;lager;;;;;;;streefwaarde ontbreekt;;
Wonen;(Mediane) Woonquote (huurder);Lager is beter;lager;;;;;;;streefwaarde ontbreekt;;
Wonen;Dakloosheid (dakloze mensen x 1.000);2030: nul daklozen;;;;lager;0;2030;Doeltekst: 2030: nul daklozen;;;
Zorg;Gezonde levensverwachting (bij geboorte) - mannen;een hogere leeftijd is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Zorg;Gezonde levensverwachting (bij geboorte) - vrouwen;een hogere leeftijd is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Zorg;Gemiddelde wachttijd behandeling ziekenhuis (% langer dan Treeknorm);een lager % is beter;lager;;;;;;;streefwaarde ontbreekt;;
Zorg;Vaccinatiegraad Rijksvaccinatieprogramma zuigelingen (geregistreerde vaccinaties totaal);Minimaal 90%;hoger;90,0;;;;;;;;
Zorg;Vaccinatiegraad Rijksvaccinatieprogramma zuigelingen (geregistreerde vaccinaties BMR);Minimaal 95%;hoger;95,0;;;;;;;;
Zorg;Voldoende beweging (% bevolking > 4 jr.);2040: minimaal 75% (4-17 jr.);hoger;75,0;2040,0;;;;;;;
Zorg;% rokers 12-18 jr.;2040: 0% (12-25jr.);;0,0;2040,0;lager;0;2040;Doeltekst: 2040: 0% (12-25jr.);;;
Zorg;% rokers > 18 jr.;;;;;lager;;;"Rookvrije generatie; lager is het beleidsdoel";geen streefwaarde bekend;;
Binnenlandse Veiligheid;Aantal geregistreerde misdrijven;Lager # is beter;lager;;;;;;;streefwaarde ontbreekt;;
Binnenlandse Veiligheid;Aantal opgehelderde misdrijven;Meer opgehelderd is beter (hoger aantal);hoger;;;;;;;streefwaarde ontbreekt;;
Binnenlandse Veiligheid;Ophelderingspercentage misdrijven;hoger % opgehelderd is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Binnenlandse Veiligheid;Slachtoffers traditionele criminaliteit (% bevolking);Hoe minder hoe beter;lager;;;;;;;streefwaarde ontbreekt;;
Binnenlandse Veiligheid;High Impact Crimes x 1.000;Hoe minder hoe beter;lager;;;;;;;streefwaarde ontbreekt;;
Binnenlandse Veiligheid;National Cybersecurity Index - NL (score);Hoe hoger, hoe beter;hoger;;;;;;;streefwaarde ontbreekt;;
Binnenlandse Veiligheid;National Cybersecurity Index - NL (ranking);hoe lager het cijfer van de ranking, hoe beter;lager;;;;;;;streefwaarde ontbreekt;;
Binnenlandse Veiligheid;Slachtoffers van moord en doodslag  per 100.000 inwoners;Hoe minder hoe beter;lager;;;;;;;streefwaarde ontbreekt;;
Defensie en Ontwikkelingssamenwerking;Defensie uitgaven (NAVO-norm);2035: 3,5% BBP;;3,5;2035,0;hoger;3,5;2035;"Doeltekst 2035: 3,5% BBP; coalitie wil NAVO-norm wettelijk verankeren";;;
Defensie en Ontwikkelingssamenwerking;Investeringsquote defensie uitgaven (% defensie-uitgaven voor investeringen);> 20%;hoger;20,0;;;;;;;;
Defensie en Ontwikkelingssamenwerking;Vullingsgraad formatie krijgsmacht (Militair personeel);2025: 86,7%;;86,7;2025,0;hoger;86,7;2025;Doeltekst: 2025: 86,7%;;;
Defensie en Ontwikkelingssamenwerking;Uitgaven ontwikkelingssamenwerking (als % BNI);0.007;;0,007;;hoger;0,7;;Bron noteert 0,007 (fractie) - VN-norm is 0,7% van bni;;;
Bestaanszekerheid;Armoede intensiteit (% inkomenstekort ten opzichte van de armoedegrens bij de mediaan binnen de groep in armoede);Lager is beter;lager;;;;;;;streefwaarde ontbreekt;;
Bestaanszekerheid;Huishoudens met problematische schulden (%);Hoe minder hoe beter;lager;;;;;;;streefwaarde ontbreekt;;
Bestaanszekerheid;% personen onder NL-armoedegrens (nieuwe CBS–SCP–Nibud-methode);Niet hoger dan 2024: 3,1%;lager;3,1;2024,0;;;;;;;
Bestaanszekerheid;Kinderarmoede (% kinderen < 18);Niet hoger dan 2024: 2,8%;lager;2,8;2024,0;;;;;;;
Gelijkheid/non-discriminatie;Gender-equality index (score);Hoe hoger, hoe beter;hoger;;;;;;;streefwaarde ontbreekt;;
Gelijkheid/non-discriminatie;Gender-equality index (rang);Een hogere positie (lager getal) is beter;lager;;;;;;;streefwaarde ontbreekt;;
Gelijkheid/non-discriminatie;Loonkloof man/vrouw (inkomen vrouwen als % van inkomen mannen);Een hoger % is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Gelijkheid/non-discriminatie;Inkomensongelijkheid (Gini-coëfficiënt);Hoe lager, hoe beter;lager;;;;;;;streefwaarde ontbreekt;;
Gelijkheid/non-discriminatie;Vermogensongelijkheid (Gini-coëfficiënt);Hoe lager, hoe beter;lager;;;;;;;streefwaarde ontbreekt;;
Gelijkheid/non-discriminatie;Ervaren discriminatie (% personen 15+);Hoe lager, hoe beter;lager;;;;;;;streefwaarde ontbreekt;;
Gelijkheid/non-discriminatie;Verschil (in jaren) gezonde levensverwachting tussen hoogste en laagste inkomenskwintiel (mannen);Hoe lager/kleiner, hoe beter;lager;;;;;;;streefwaarde ontbreekt;;
Gelijkheid/non-discriminatie;Verschil (in jaren) gezonde levensverwachting tussen hoogste en laagste inkomenskwintiel (vrouwen);Hoe lager/kleiner, hoe beter;lager;;;;;;;streefwaarde ontbreekt;;
